WK_DT,PIPE_NO,DV_R,DA_R,AV_R,AA_R,PM_R,FIN_JGMT
20220331210024000,PP22032200038,250,6900,260,4300,5100,0
20220331210024200,PP22032200038,250,7000,255,4400,5000,0
20220331210024200,PP22032200038,255,7100,260,4500,5100,0
20220331210024300,PP22032200038,260,7200,255,4200,5200,0
20220331210024300,PP22032200038,255,7100,250,4100,5100,0
20220331210024600,PP22032200038,250,7000,255,4000,5000,0
20220331210024600,PP22032200038,255,6900,260,4000,4900,0
20220331210024800,PP22032200038,260,6800,255,4200,4800,0
20220331210024800,PP22032200038,255,6900,250,4100,4700,0
20220331210025100,PP22032200038,250,7000,250,4300,4800,0
20220331210025100,PP22032200038,255,7100,255,4400,4900,0
20220331210025300,PP22032200038,260,7200,260,4200,5000,0
20220331210025300,PP22032200038,255,7100,255,4000,5100,0
20220331210025400,PP22032200038,250,7000,250,3900,5200,0
20220331210025400,PP22032200038,255,7000,255,3800,5000,0
20220331210025700,PP22032200038,260,7100,260,3850,4900,0
20220331210025700,PP22032200038,255,7200,255,3900,4800,0
20220331210025900,PP22032200038,260,7100,250,4000,4700,0
20220331210025900,PP22032200038,255,7000,255,4100,4800,0
20220331210026100,PP22032200038,250,6900,260,4200,4900,0
20220331210026100,PP22032200038,255,6800,255,4300,5000,0
20220331210026400,PP22032200038,260,6900,250,4400,5100,0
20220331210026400,PP22032200038,255,7000,255,4500,5200,0
20220331210026500,PP22032200038,250,7100,260,4200,5100,0
20220331210026500,PP22032200038,250,7200,255,4100,5000,0
20220331210026700,PP22032200038,255,7100,260,4000,5100,0
20220331210026700,PP22032200038,260,7000,255,4000,5200,0
20220331210027000,PP22032200038,255,6900,250,4200,5100,0
20220331210027000,PP22032200038,250,6800,255,4100,5000,0
20220331210027200,PP22032200038,255,6900,260,4300,4900,0
20220331210027200,PP22032200038,260,7000,255,4400,4800,0
20220331210027500,PP22032200038,255,7100,250,4200,4700,0
20220331210027500,PP22032200038,250,7200,250,4000,4800,0
20220331210027600,PP22032200038,255,7100,255,3900,4900,0
20220331210027600,PP22032200038,260,7000,260,3800,5000,0
20220331210027800,PP22032200038,255,7000,255,3850,5100,0
20220331210027800,PP22032200038,250,7100,250,3900,5200,0
20220331210028100,PP22032200038,255,7200,255,4000,5000,0
20220331210028100,PP22032200038,260,7100,260,4100,4900,0
20220331210028300,PP22032200038,255,7000,255,4200,4800,0
20220331210028300,PP22032200038,260,6900,250,4300,4700,0
20220331210028500,PP22032200038,255,6800,255,4400,4800,0
20220331210028500,PP22032200038,250,6900,260,4500,4900,0
20220331210028700,PP22032200038,255,7000,255,4200,5000,0
20220331210028700,PP22032200038,260,7100,250,4100,5100,0
20220331210028900,PP22032200038,255,7200,255,4000,5200,0
20220331210028900,PP22032200038,250,7100,260,4000,5100,0
20220331210029100,PP22032200038,250,7000,255,4200,5000,0
20220331210029100,PP22032200038,255,6900,260,4100,5100,0
20220331210029400,PP22032200038,260,6800,255,4300,5200,0
20220331210029400,PP22032200038,255,6900,250,4400,5100,0
20220331210029600,PP22032200038,250,7000,255,4200,5000,0
20220331210029600,PP22032200038,255,7100,260,4000,4900,0
20220331210029700,PP22032200038,260,7200,255,3900,4800,0
20220331210029700,PP22032200038,255,7100,250,3800,4700,0
20220331210030000,PP22032200038,250,7000,250,3850,4800,0
20220331210030000,PP22032200038,255,7000,255,3900,4900,0
20220331210030200,PP22032200038,260,7100,260,4000,5000,0
20220331210030200,PP22032200038,255,7200,255,4100,5100,0
20220331210030500,PP22032200038,250,7100,250,4200,5200,0
20220331210030500,PP22032200038,255,7000,255,4300,5000,0
20220331210030700,PP22032200038,260,6900,260,4400,4900,0
20220331210030700,PP22032200038,255,6800,255,4500,4800,0
20220331210030800,PP22032200038,260,6900,250,4200,4700,0
20220331210030800,PP22032200038,255,7000,255,4100,4800,0
20220331210031100,PP22032200038,250,7100,260,4000,4900,0
20220331210031100,PP22032200038,255,7200,255,4000,5000,0
20220331210031300,PP22032200038,260,7100,250,4200,5100,0
20220331210031300,PP22032200038,255,7000,255,4100,5200,0
20220331210031500,PP22032200038,250,6900,260,4300,5100,0
20220331210031500,PP22032200038,250,6800,255,4400,5000,0
20220331210031700,PP22032200038,255,6900,260,4200,5100,0
20220331210031700,PP22032200038,260,7000,255,4000,5200,0
20220331210031900,PP22032200038,255,7100,250,3900,5100,0
20220331210031900,PP22032200038,250,7200,255,3800,5000,0
20220331210032100,PP22032200038,255,7100,260,3850,4900,0
20220331210032100,PP22032200038,260,7000,255,3900,4800,0
20220331210032400,PP22032200038,255,7000,250,4000,4700,0
20220331210032400,PP22032200038,250,7100,250,4100,4800,0
20220331210032600,PP22032200038,255,7200,255,4200,4900,0
20220331210032600,PP22032200038,260,7100,260,4300,5000,0
20220331210032700,PP22032200038,255,7000,255,4400,5100,0
20220331210032700,PP22032200038,250,6900,250,4500,5200,0
20220331210033000,PP22032200038,255,6800,255,4200,5000,0
20220331210033000,PP22032200038,260,6900,260,4100,4900,0
20220331210033200,PP22032200038,255,7000,255,4000,4800,0
20220331210033200,PP22032200038,260,7100,250,4000,4700,0
20220331210033500,PP22032200038,255,7200,255,4200,4800,0
20220331210033500,PP22032200038,250,7100,260,4100,4900,0
20220331210033700,PP22032200038,255,7000,255,4300,5000,0
20220331210033700,PP22032200038,260,6900,250,4400,5100,0
20220331210033800,PP22032200038,255,6800,255,4200,5200,0
20220331210033800,PP22032200038,250,6900,260,4000,5100,0
20220331210034100,PP22032200038,250,7000,255,3900,5000,0
20220331210034100,PP22032200038,255,7100,260,3800,5100,0
20220331210034300,PP22032200038,260,7200,255,3850,5200,0
20220331210034300,PP22032200038,255,7100,250,3900,5100,0
20220331210034500,PP22032200038,250,7000,255,4000,5000,0
20220331210034500,PP22032200038,255,7300,260,4100,4900,0
20220331210034800,PP22032200038,260,7200,255,4200,4800,0
20220331210034800,PP22032200038,255,7000,250,4300,4700,0
20220331210034900,PP22032200038,250,7100,250,4400,4800,0
20220331210034900,PP22032200038,255,7200,255,4500,4900,0
20220331210035100,PP22032200038,260,7100,260,4200,5000,0
20220331210035100,PP22032200038,255,7000,255,4100,5100,0
20220331210035400,PP22032200038,250,6900,250,4000,5200,0
20220331210035400,PP22032200038,255,6800,255,4000,5000,0
20220331210035600,PP22032200038,260,6900,260,4200,4900,0
20220331210035600,PP22032200038,255,7000,255,4100,4800,0
20220331210035700,PP22032200038,260,7100,250,4300,4700,0
20220331210035700,PP22032200038,255,7200,255,4400,4800,0
20220331210036000,PP22032200038,250,7100,260,4200,4900,0
20220331210036000,PP22032200038,255,7000,255,4000,5000,0
20220331210036200,PP22032200038,260,6900,250,3900,5100,0
20220331210036200,PP22032200038,255,6800,255,3800,5200,0
20220331210036500,PP22032200038,250,6900,260,3850,5100,0
20220331210036500,PP22032200038,250,7000,255,3900,5000,0
20220331210036700,PP22032200038,255,7100,260,4000,5100,0
20220331210036700,PP22032200038,260,7200,255,4100,5200,0
20220331210036900,PP22032200038,255,7100,250,4200,5100,0
20220331210036900,PP22032200038,250,7000,255,4300,5000,0
20220331210037100,PP22032200038,255,7000,260,4400,4900,0
20220331210037100,PP22032200038,260,7100,255,4500,4800,0
20220331210037300,PP22032200038,255,7200,250,4200,4700,0
20220331210037300,PP22032200038,250,7100,250,4100,4800,0
20220331210037500,PP22032200038,255,7000,255,4000,4900,0
20220331210037500,PP22032200038,260,6900,260,4000,5000,0
20220331210037800,PP22032200038,255,6800,255,4200,5100,0
20220331210037800,PP22032200038,250,6900,250,4100,5200,0
20220331210038000,PP22032200038,255,7000,255,4300,5000,0
20220331210038000,PP22032200038,260,7100,260,4400,4900,0
20220331210038100,PP22032200038,255,7200,255,4200,4800,0
20220331210038100,PP22032200038,260,7100,250,4000,4700,0
20220331210038400,PP22032200038,255,7000,255,3900,4800,0
20220331210038400,PP22032200038,250,6900,260,3800,4900,0
20220331210038600,PP22032200038,255,6800,255,3850,5000,0
20220331210038600,PP22032200038,260,6900,250,3900,5100,0
20220331210038900,PP22032200038,255,7000,255,4000,5200,0
20220331210038900,PP22032200038,250,7100,260,4100,5100,0
20220331210039000,PP22032200038,250,7200,255,4200,5000,0
20220331210039000,PP22032200038,255,7100,260,4300,5100,0
20220331210039200,PP22032200038,260,7000,255,4400,5200,0
20220331210039200,PP22032200038,255,7000,250,4500,5100,0
20220331210039500,PP22032200038,250,7100,255,4200,5000,0
20220331210039500,PP22032200038,255,7200,260,4100,4900,0
20220331210039700,PP22032200038,260,7100,255,4000,4800,0
20220331210039700,PP22032200038,255,7000,250,4000,4700,0
20220331210039900,PP22032200038,250,6900,250,4200,4800,0
20220331210039900,PP22032200038,255,6800,255,4100,4900,0
20220331210040100,PP22032200038,260,6900,260,4300,5000,0
20220331210040100,PP22032200038,255,7000,255,4400,5100,0
20220331210040300,PP22032200038,250,7100,250,4200,5200,0
20220331210040300,PP22032200038,255,7200,255,4000,5000,0
20220331210040500,PP22032200038,260,7100,260,3900,4900,0
20220331210040500,PP22032200038,255,7000,255,3800,4800,0
20220331210040800,PP22032200038,260,6900,250,3850,4700,0
20220331210040800,PP22032200038,255,6800,255,3900,4800,0
20220331210041000,PP22032200038,250,6900,260,4000,4900,0
20220331210041000,PP22032200038,255,7000,255,4100,5000,0
20220331210041100,PP22032200038,260,7100,250,4200,5100,0
20220331210041100,PP22032200038,255,7200,255,4300,5200,0
20220331210041400,PP22032200038,250,7100,260,4400,5100,0
20220331210041400,PP22032200038,250,7000,255,4500,5000,0
20220331210041600,PP22032200038,255,7000,260,4200,5100,0
20220331210041600,PP22032200038,260,7100,255,4100,5200,0
20220331210041900,PP22032200038,255,7200,250,4000,5100,0
20220331210041900,PP22032200038,250,7100,255,4000,5000,0
20220331210042100,PP22032200038,255,7000,260,4200,4900,0
20220331210042100,PP22032200038,260,6900,255,4100,4800,0
20220331210042200,PP22032200038,255,6800,250,4300,4700,0
20220331210042200,PP22032200038,250,6900,250,4400,4800,0
20220331210042500,PP22032200038,255,7000,255,4200,4900,0
20220331210042500,PP22032200038,260,7100,260,4000,5000,0
20220331210042700,PP22032200038,255,7200,255,3900,5100,0
20220331210042700,PP22032200038,250,7100,250,3800,5200,0
20220331210042900,PP22032200038,255,7000,255,3850,5000,0
20220331210042900,PP22032200038,260,6900,260,3900,4900,0
20220331210043200,PP22032200038,255,6800,255,4000,4800,0
20220331210043200,PP22032200038,260,6900,250,4100,4700,0
20220331210043300,PP22032200038,255,7000,255,4200,4800,0
20220331210043300,PP22032200038,250,7100,260,4300,4900,0
20220331210043500,PP22032200038,255,7200,255,4400,5000,0
20220331210043500,PP22032200038,260,7100,250,4500,5100,0
20220331210043800,PP22032200038,255,7000,255,4200,5200,0
20220331210043800,PP22032200038,250,7000,260,4100,5100,0
20220331210044000,PP22032200038,250,7100,255,4000,5000,0
20220331210044000,PP22032200038,255,7200,260,4000,5100,0
20220331210044300,PP22032200038,260,7100,255,4200,5200,0
20220331210044300,PP22032200038,255,7000,250,4100,5100,0
20220331210044400,PP22032200038,250,6900,255,4300,5000,0
20220331210044400,PP22032200038,255,6800,260,4400,4900,0
20220331210044600,PP22032200038,260,6900,255,4200,4800,0
20220331210044600,PP22032200038,255,7000,250,4000,4700,0
20220331210044900,PP22032200038,250,7100,250,3900,4800,0
20220331210044900,PP22032200038,255,7200,255,3800,4900,0
20220331210045100,PP22032200038,260,7100,260,3850,5000,0
20220331210045100,PP22032200038,255,7000,255,3900,5100,0
20220331210045300,PP22032200038,250,6900,250,4000,5200,0
20220331210045300,PP22032200038,255,6800,255,4100,5000,0
20220331210045500,PP22032200038,260,6900,260,4200,4900,0
20220331210045500,PP22032200038,255,7000,255,4300,4800,0
20220331210045700,PP22032200038,260,7100,250,4400,4700,0
20220331210045700,PP22032200038,255,7200,255,4500,4800,0
20220331210045900,PP22032200038,250,7100,260,4200,4900,0
20220331210045900,PP22032200038,255,7000,255,4100,5000,0
20220331210046200,PP22032200038,260,7300,250,4000,5100,0
20220331210046200,PP22032200038,255,7200,255,4000,5200,0
20220331210046400,PP22032200038,250,7000,260,4200,5100,0
20220331210046400,PP22032200038,250,7100,255,4100,5000,0
20220331210046700,PP22032200038,255,7200,260,4300,5100,0
20220331210046700,PP22032200038,260,7100,255,4400,5200,0
20220331210046800,PP22032200038,255,7000,250,4200,5100,0
20220331210046800,PP22032200038,250,6900,255,4000,5000,0
20220331210047000,PP22032200038,255,6800,260,3900,4900,0
20220331210047000,PP22032200038,260,6900,255,3800,4800,0
20220331210047300,PP22032200038,255,7000,250,3850,4700,0
20220331210047300,PP22032200038,250,7100,250,3900,4800,0
20220331210047500,PP22032200038,255,7200,255,4000,4900,0
20220331210047500,PP22032200038,260,7100,260,4100,5000,0
20220331210047600,PP22032200038,255,7000,255,4200,5100,0
20220331210047600,PP22032200038,250,6900,250,4300,5200,0
20220331210047900,PP22032200038,255,6800,255,4400,5000,0
20220331210047900,PP22032200038,260,6900,260,4500,4900,0
20220331210048100,PP22032200038,255,7000,255,4200,4800,0
20220331210048100,PP22032200038,260,7100,250,4100,4700,0
20220331210048300,PP22032200038,255,7200,255,4000,4800,0
20220331210048300,PP22032200038,250,7100,260,4000,4900,0
20220331210048500,PP22032200038,255,7000,255,4200,5000,0
20220331210048500,PP22032200038,260,7000,250,4100,5100,0
20220331210048700,PP22032200038,255,7100,255,4300,5200,0
20220331210048700,PP22032200038,250,7200,260,4400,5100,0
20220331210048900,PP22032200038,250,7100,255,4200,5000,0
20220331210048900,PP22032200038,255,7000,260,4000,5100,0
20220331210049200,PP22032200038,260,6900,255,3900,5200,0
20220331210049200,PP22032200038,255,6800,250,3800,5100,0
20220331210049400,PP22032200038,250,6900,255,3850,5000,0
20220331210049400,PP22032200038,255,7000,260,3900,4900,0
20220331210049700,PP22032200038,260,7100,255,4000,4800,0
20220331210049700,PP22032200038,255,7200,250,4100,4700,0
20220331210049800,PP22032200038,250,7100,250,4200,4800,0
20220331210049800,PP22032200038,255,7000,255,4300,4900,0
20220331210050000,PP22032200038,260,6900,260,4400,5000,0
20220331210050000,PP22032200038,255,6800,255,4500,5100,0
20220331210050300,PP22032200038,250,6900,250,4200,5200,0
20220331210050300,PP22032200038,255,7000,255,4100,5000,0
20220331210050500,PP22032200038,260,7100,260,4000,4900,0
20220331210050500,PP22032200038,255,7200,255,4000,4800,0
20220331210050700,PP22032200038,260,7100,250,4200,4700,0
20220331210050700,PP22032200038,255,7000,255,4100,4800,0
20220331210050900,PP22032200038,250,7000,260,4300,4900,0
20220331210050900,PP22032200038,255,7100,255,4400,5000,0
20220331210051100,PP22032200038,260,7200,250,4200,5100,0
20220331210051100,PP22032200038,255,7100,255,4000,5200,0
20220331210051300,PP22032200038,250,7000,260,3900,5100,0
20220331210051300,PP22032200038,250,6900,255,3800,5000,0
20220331210051600,PP22032200038,255,6800,260,3850,5100,0
20220331210051600,PP22032200038,260,6900,255,3900,5200,0
20220331210051700,PP22032200038,255,7000,250,4000,5100,0
20220331210051700,PP22032200038,250,7100,255,4100,5000,0
20220331210051900,PP22032200038,255,7200,260,4200,4900,0
20220331210051900,PP22032200038,260,7100,255,4300,4800,0
20220331210052200,PP22032200038,255,7000,250,4400,4700,0
20220331210052200,PP22032200038,250,6900,250,4500,4800,0
20220331210052400,PP22032200038,255,6800,255,4200,4900,0
20220331210052400,PP22032200038,260,6900,260,4100,5000,0
20220331210052700,PP22032200038,255,7000,255,4000,5100,0
20220331210052700,PP22032200038,250,7100,250,4000,5200,0
20220331210052800,PP22032200038,255,7200,255,4200,5000,0
20220331210052800,PP22032200038,260,7100,260,4100,4900,0
20220331210053000,PP22032200038,255,7000,255,4300,4800,0
20220331210053000,PP22032200038,260,7000,250,4400,4700,0
20220331210053300,PP22032200038,255,7100,255,4200,4800,0
20220331210053300,PP22032200038,250,7200,260,4000,4900,0
20220331210053500,PP22032200038,255,7100,255,3900,5000,0
20220331210053500,PP22032200038,260,7000,250,3800,5100,0
20220331210053700,PP22032200038,255,6900,255,3850,5200,0
20220331210053700,PP22032200038,250,6800,260,3900,5100,0
20220331210053900,PP22032200038,250,6900,255,4000,5000,0
20220331210053900,PP22032200038,255,7000,260,4100,5100,0
20220331210054100,PP22032200038,260,7100,255,4200,5200,0
20220331210054100,PP22032200038,255,7200,250,4300,5100,0
20220331210054300,PP22032200038,250,7100,255,4400,5000,0
20220331210054300,PP22032200038,255,7000,260,4500,4900,0
20220331210054600,PP22032200038,260,6900,255,4200,4800,0
20220331210054600,PP22032200038,255,6800,250,4100,4700,0
20220331210054800,PP22032200038,250,6900,250,4000,4800,0
20220331210054800,PP22032200038,255,7000,255,4000,4900,0
20220331210055100,PP22032200038,260,7100,260,4200,5000,0
20220331210055100,PP22032200038,255,7200,255,4100,5100,0
20220331210055200,PP22032200038,250,7100,250,4300,5200,0
20220331210055200,PP22032200038,255,7000,255,4400,5000,0
20220331210055400,PP22032200038,260,7000,260,4200,4900,0
20220331210055400,PP22032200038,255,7100,255,4000,4800,0
20220331210055700,PP22032200038,260,7200,250,3900,4700,0
20220331210055700,PP22032200038,255,7100,255,3800,4800,0
20220331210055900,PP22032200038,250,7000,260,3850,4900,0
20220331210055900,PP22032200038,255,6900,255,3900,5000,0
20220331210056000,PP22032200038,260,6800,250,4000,5100,0
20220331210056000,PP22032200038,255,6900,255,4100,5200,0
20220331210056300,PP22032200038,250,7000,260,4200,5100,0
20220331210056300,PP22032200038,250,7100,255,4300,5000,0
20220331210056500,PP22032200038,255,7200,260,4400,5100,0
20220331210056500,PP22032200038,260,7100,255,4500,5200,0
20220331210056700,PP22032200038,255,7000,250,4200,5100,0
20220331210056700,PP22032200038,250,6900,255,4100,5000,0
20220331210057000,PP22032200038,255,6800,260,4000,4900,0
20220331210057000,PP22032200038,260,6900,255,4000,4800,0
20220331210057200,PP22032200038,255,7000,250,4200,4700,0
20220331210057200,PP22032200038,250,7100,250,4100,4800,0
20220331210057300,PP22032200038,255,7200,255,4300,4900,0
20220331210057300,PP22032200038,260,7100,260,4400,5000,0
20220331210057600,PP22032200038,255,7000,255,4200,5100,0
20220331210057600,PP22032200038,250,7300,250,4000,5200,0
20220331210057800,PP22032200038,255,7200,255,3900,5000,0
20220331210057800,PP22032200038,260,7000,260,3800,4900,0
20220331210058100,PP22032200038,255,7100,255,3850,4800,0
20220331210058100,PP22032200038,260,7200,250,3900,4700,0
20220331210058200,PP22032200038,255,7100,255,4000,4800,0
20220331210058200,PP22032200038,250,7000,260,4100,4900,0
20220331210058400,PP22032200038,255,6900,255,4200,5000,0
20220331210058400,PP22032200038,260,6800,250,4300,5100,0
20220331210058700,PP22032200038,255,6900,255,4400,5200,0
20220331210058700,PP22032200038,250,7000,260,4500,5100,0
20220331210058900,PP22032200038,250,7100,255,4200,5000,0
20220331210058900,PP22032200038,255,7200,260,4100,5100,0
20220331210059100,PP22032200038,260,7100,255,4000,5200,0
20220331210059100,PP22032200038,255,7000,250,4000,5100,0
20220331210059300,PP22032200038,250,6900,255,4200,5000,0
20220331210059300,PP22032200038,255,6800,260,4100,4900,0
20220331210059500,PP22032200038,260,6900,255,4300,4800,0
20220331210059500,PP22032200038,255,7000,250,4400,4700,0
20220331210059700,PP22032200038,250,7100,250,4200,4800,0
20220331210059700,PP22032200038,255,7200,255,4000,4900,0
20220331210100000,PP22032200038,260,7100,260,3900,5000,0
20220331210100000,PP22032200038,255,7000,255,3800,5100,0
20220331210100200,PP22032200038,250,7000,250,3850,5200,0
20220331210100200,PP22032200038,255,7100,255,3900,5000,0
20220331210100300,PP22032200038,260,7200,260,4000,4900,0
20220331210100300,PP22032200038,255,7100,255,4100,4800,0
20220331210100600,PP22032200038,260,7000,250,4200,4700,0
20220331210100600,PP22032200038,255,6900,255,4300,4800,0
20220331210100800,PP22032200038,250,6800,260,4400,4900,0
20220331210100800,PP22032200038,255,6900,255,4500,5000,0
20220331210101100,PP22032200038,260,7000,250,4200,5100,0
20220331210101100,PP22032200038,255,7100,255,4100,5200,0
20220331210101300,PP22032200038,250,7200,260,4000,5100,0
20220331210101300,PP22032200038,250,7100,255,4000,5000,0
20220331210101500,PP22032200038,255,7000,260,4200,5100,0
20220331210101500,PP22032200038,260,6900,255,4100,5200,0
20220331210101700,PP22032200038,255,6800,250,4300,5100,0
20220331210101700,PP22032200038,250,6900,255,4400,5000,0
20220331210101900,PP22032200038,255,7000,260,4200,4900,0
20220331210101900,PP22032200038,260,7100,255,4000,4800,0
20220331210102100,PP22032200038,255,7200,250,3900,4700,0
20220331210102100,PP22032200038,250,7100,250,3800,4800,0
20220331210102400,PP22032200038,255,7000,255,3850,4900,0
20220331210102400,PP22032200038,260,7000,260,3900,5000,0
20220331210102500,PP22032200038,255,7100,255,4000,5100,0
20220331210102500,PP22032200038,250,7200,250,4100,5200,0
20220331210102700,PP22032200038,255,7100,255,4200,5000,0
20220331210102700,PP22032200038,260,7000,260,4300,4900,0
20220331210103000,PP22032200038,255,6900,255,4400,4800,0
20220331210103000,PP22032200038,260,6800,250,4500,4700,0
20220331210103200,PP22032200038,255,6900,255,4200,4800,0
20220331210103200,PP22032200038,250,7000,260,4100,4900,0
